Year,Name
1990,cincinnati reds
1991,minnesota twins
1992,toronto blue jays
1993,toronto blue jays
1995,atlanta braves
1996,new york yankees
1997,florida marlins
1998,new york yankees
1999,new york yankees
2000,new york yankees
2001,arizona diamondbacks
2002,anaheim angels
2003,florida marlins
2004,boston red sox
2005,chicago white sox
2006,st. louis cardinals
2007,boston red sox
2008,philadelphia phillies
2009,new york yankees
2010,san francisco giants
2011,st. louis cardinals
2012,san francisco giants
2013,boston red sox
2014,san francisco giants
2015,kansas city royals
2016,chicago cubs
2017,houston astros
2018,boston red sox
2019,washington nationals
2020,los angeles dodgers
2021,atlanta braves
2022,houston astros 
